partitions	workers	throughput_evs	p50_ms	p95_ms	p99_ms	max_ms	peak_lag	persisted
3	1	1828	8833	16770	16920	16973	38879	50001
3	2	2333	3901	12279	12709	12771	29012	50001
3	4	3348	2698	4244	4338	4359	17830	50001
3	8	3807	2764	4100	4218	4282	19119	50001
